,home_team,away_team,predicted_score,score_probability,second_most_likely_score,second_score_probability,third_most_likely_score,third_score_probability,expected_home_goals,expected_away_goals
292,Werder Bremen,Borussia Dortmund,1-1,0.1107,1-2,0.0991,0-2,0.0856,1.1474,1.9799
293,Werder Bremen,Borussia Monchengladbach,1-1,0.1245,2-1,0.0907,1-2,0.0745,1.609,1.3702
294,Werder Bremen,Eintracht Frankfurt,1-1,0.1242,1-2,0.0876,2-1,0.0788,1.4711,1.6326
295,Werder Bremen,Elversberg,1-1,0.1286,1-0,0.1257,2-0,0.1085,1.542,0.8832
296,Werder Bremen,Freiburg,1-1,0.1262,2-1,0.0864,1-2,0.0803,1.4824,1.4129
297,Werder Bremen,Hamburger SV,1-1,0.1315,1-0,0.0921,2-1,0.0853,1.5286,1.1713
298,Werder Bremen,Hoffenheim,1-1,0.1179,1-2,0.0787,2-1,0.0775,1.6112,1.6166
299,Werder Bremen,Koln,1-1,0.1223,2-1,0.0927,1-0,0.0817,1.6105,1.2531
300,Werder Bremen,Mainz,1-1,0.1304,1-2,0.0889,2-1,0.0812,1.3813,1.3619
301,Werder Bremen,Paderborn,1-0,0.1364,1-1,0.1271,2-0,0.1229,1.6117,0.771
302,Werder Bremen,RB Leipzig,1-1,0.12,1-2,0.0962,0-1,0.0836,1.2187,1.7791
303,Werder Bremen,Schalke,1-1,0.112,2-1,0.1004,2-0,0.0918,1.8901,1.0594
304,Werder Bremen,Stuttgart,1-1,0.1083,1-2,0.1048,0-2,0.0694,1.3353,1.8394
305,Werder Bremen,Union Berlin,1-1,0.1401,1-0,0.0934,2-1,0.0863,1.4076,1.1925
